Schedule Name,Vacancy,Power Outage,No Space Heating,No Space Cooling
occupants,1,0,0,0
lighting_interior,1,1,0,0
lighting_exterior,1,1,0,0
lighting_garage,1,1,0,0
lighting_exterior_holiday,1,1,0,0
cooking_range,1,1,0,0
refrigerator,0,1,0,0
extra_refrigerator,0,1,0,0
freezer,0,1,0,0
dishwasher,1,1,0,0
clothes_washer,1,1,0,0
clothes_dryer,1,1,0,0
ceiling_fan,1,1,0,0
plug_loads_other,1,1,0,0
plug_loads_tv,1,1,0,0
plug_loads_vehicle,1,1,0,0
plug_loads_well_pump,1,1,0,0
fuel_loads_grill,1,1,0,0
fuel_loads_lighting,1,1,0,0
fuel_loads_fireplace,1,1,0,0
pool_pump,0,1,0,0
pool_heater,0,1,0,0
permanent_spa_pump,0,1,0,0
permanent_spa_heater,0,1,0,0
hot_water_fixtures,1,1,0,0
hot_water_recirculation_pump,1,1,0,0
general_water_use,1,0,0,0
space_heating,0,1,1,0
space_cooling,0,1,0,1
water_heater,0,1,0,0
dehumidifier,0,1,0,0
house_fan,0,1,0,0
kitchen_fan,1,1,0,0
bath_fan,1,1,0,0
whole_house_fan,0,1,0,0
battery_charging,0,1,0,0
battery_discharging,0,1,0,0
ev_battery_charging,0,1,0,0
ev_battery_discharging,0,1,0,0
