Timeseries ResStock Name,Timeseries BuildStockBatch Name,Timeseries Units,Notes
Time,time,,Local clock.
TimeDST,timedst,,Local clock daylight saving time.
TimeUTC,timeutc,,Local clock coordinated universal time.
Temperature: Attic - Unvented,temperature__attic_-_unvented__f,F,"Zone temperatures (in deg-F) for each space (e.g., living space, attic, garage, basement, crawlspace, etc.) plus heating/cooling setpoints."
Temperature: Attic - Vented,temperature__attic_-_vented__f,F,"Zone temperatures (in deg-F) for each space (e.g., living space, attic, garage, basement, crawlspace, etc.) plus heating/cooling setpoints."
Temperature: Basement - Unconditioned,temperature__basement_-_unconditioned__f,F,"Zone temperatures (in deg-F) for each space (e.g., living space, attic, garage, basement, crawlspace, etc.) plus heating/cooling setpoints."
Temperature: Crawlspace - Unvented,temperature__crawlspace_-_unvented__f,F,"Zone temperatures (in deg-F) for each space (e.g., living space, attic, garage, basement, crawlspace, etc.) plus heating/cooling setpoints."
Temperature: Crawlspace - Vented,temperature__crawlspace_-_vented__f,F,"Zone temperatures (in deg-F) for each space (e.g., living space, attic, garage, basement, crawlspace, etc.) plus heating/cooling setpoints."
Temperature: Garage,temperature__garage__f,F,"Zone temperatures (in deg-F) for each space (e.g., living space, attic, garage, basement, crawlspace, etc.) plus heating/cooling setpoints."
Temperature: Living Space,temperature__living_space__f,F,"Zone temperatures (in deg-F) for each space (e.g., living space, attic, garage, basement, crawlspace, etc.) plus heating/cooling setpoints."
Temperature: Heating Setpoint,temperature__heating_setpoint__f,F,"Zone temperatures (in deg-F) for each space (e.g., living space, attic, garage, basement, crawlspace, etc.) plus heating/cooling setpoints."
Temperature: Cooling Setpoint,temperature__cooling_setpoint__f,F,"Zone temperatures (in deg-F) for each space (e.g., living space, attic, garage, basement, crawlspace, etc.) plus heating/cooling setpoints."
Airflow: Infiltration,airflow__infiltration__cfm,cfm,"Airflow rates (in cfm) for infiltration, mechanical ventilation (including clothes dryer exhaust), natural ventilation, whole house fans."
Airflow: Mechanical Ventilation,airflow__mechanical_ventilation__cfm,cfm,"Airflow rates (in cfm) for infiltration, mechanical ventilation (including clothes dryer exhaust), natural ventilation, whole house fans."
Airflow: Natural Ventilation,airflow__natural_ventilation__cfm,cfm,"Airflow rates (in cfm) for infiltration, mechanical ventilation (including clothes dryer exhaust), natural ventilation, whole house fans."
Weather: Drybulb Temperature,weather__drybulb_temperature__f,F,"Weather file data including outdoor temperatures, relative humidity, wind speed, and solar."
Weather: Wetbulb Temperature,weather__wetbulb_temperature__f,F,"Weather file data including outdoor temperatures, relative humidity, wind speed, and solar."
Weather: Relative Humidity,weather__relative_humidity__%,%,"Weather file data including outdoor temperatures, relative humidity, wind speed, and solar."
Weather: Wind Speed,weather__wind_speed__mph,mph,"Weather file data including outdoor temperatures, relative humidity, wind speed, and solar."
Weather: Diffuse Solar Radiation,weather__diffuse_solar_radiation__btu/(hr*ft^2),Btu/(hr*ft^2),"Weather file data including outdoor temperatures, relative humidity, wind speed, and solar."
Weather: Direct Solar Radiation,weather__direct_solar_radiation__btu/(hr*ft^2),Btu/(hr*ft^2),"Weather file data including outdoor temperatures, relative humidity, wind speed, and solar."
Zone People Occupant Count: Living Space,zone_people_occupant_count__living_space,,User-requested EnergyPlus output variable.
Schedule Value: Ceiling_fan,schedules_ceiling_fan,,
Schedule Value: Clothes_dryer,schedules_clothes_dryer,,
Schedule Value: Clothes_washer,schedules_clothes_washer,,
Schedule Value: Cooking_range,schedules_cooking_range,,
Schedule Value: Dishwasher,schedules_dishwasher,,
Schedule Value: Hot_water_clothes_washer,schedules_hot_water_clothes_washer,,
Schedule Value: Hot_water_dishwasher,schedules_hot_water_dishwasher,,
Schedule Value: Hot_water_fixtures,schedules_hot_water_fixtures,,
Schedule Value: Lighting_garage,schedules_lighting_garage,,
Schedule Value: Lighting_interior,schedules_lighting_interior,,
Schedule Value: Occupants,schedules_occupants,,
Schedule Value: Outage,schedules_outage,,
Schedule Value: Plug_loads_other,schedules_plug_loads_other,,
Schedule Value: Plug_loads_tv,schedules_plug_loads_tv,,
Schedule Value: Vacancy,schedules_vacancy,,
