Schedule Name,Vacancy,Power Outage
occupants,1,0
lighting_interior,1,1
lighting_exterior,1,1
lighting_garage,1,1
lighting_exterior_holiday,1,1
cooking_range,1,1
refrigerator,0,1
extra_refrigerator,0,1
freezer,0,1
dishwasher,1,1
clothes_washer,1,1
clothes_dryer,1,1
ceiling_fan,1,1
plug_loads_other,1,1
plug_loads_tv,1,1
plug_loads_vehicle,1,1
plug_loads_well_pump,1,1
fuel_loads_grill,1,1
fuel_loads_lighting,1,1
fuel_loads_fireplace,1,1
pool_pump,0,1
pool_heater,0,1
permanent_spa_pump,0,1
permanent_spa_heater,0,1
hot_water_fixtures,1,1
hot_water_recirculation_pump,1,1
general_water_use,1,0
hvac,0,1
water_heater,0,1
dehumidifier,0,1
house_fan,0,1
kitchen_fan,1,1
bath_fan,1,1
whole_house_fan,0,1
battery_charging,0,1
battery_discharging,0,1
