Location,Electricity,NaturalGas
,[kWh/home/yr],[therms/home/yr]
AK,7932,1768
AL,15252,458
AR,13284,604
AZ,13140,352
CA,7044,485
CO,8148,851
CT,8772,924
DC,8808,966
DE,11304,710
FL,13440,227
GA,13776,642
HI,7536,202
IA,10608,805
ID,13044,746
IL,9180,1159
IN,12432,874
KS,11136,756
KY,14292,687
LA,15024,435
MA,7416,871
MD,12456,815
ME,6252,627
MI,7992,1060
MN,9804,946
MO,13176,772
MS,14772,519
MT,10116,821
NC,13440,565
ND,13356,932
NE,12276,804
NH,7392,801
NJ,8532,899
NM,7584,629
NV,11436,522
NY,7104,932
OH,10920,942
OK,13380,669
OR,12312,664
PA,10332,908
RI,7068,813
SC,14376,455
SD,12120,781
TN,15624,583
TX,13560,494
UT,9504,800
VA,14076,756
VT,6972,945
WA,13032,805
WI,8520,827
WV,13620,786
WY,10752,886
US,11040,748
,,
Sources: ,,
"http://www.eia.gov/electricity/data/browser/#/topic/7?agg=1,0&geo=g0fvvvvvvvvvo&endsec=8&linechart=ELEC.PRICE.US-RES.A&columnchart=ELEC.PRICE.US-RES.A&map=ELEC.PRICE.US-RES.A&freq=A&start=2014&end=2015&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0",,
Date of Latest Data: 2015,,
